Timestamp,DeviceId,DeviceName,ActionType,RemoteIP,RemoteUrl,RemotePort,InitiatingProcessFileName,InitiatingProcessId,InitiatingProcessCreationTime,InitiatingProcessAccountName
2026-08-17T09:29:02.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T09:34:19.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T09:38:55.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T09:43:51.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T09:47:56.0000000Z,c3d4e5f6,NSH-CLIN-WS012,ConnectionSuccess,45.132.180.244,cdn-sync-update.xyz,443,powershell.exe,5511,2026-08-17T09:47:26.0000000Z,p.deshmukh
2026-08-17T09:51:56.0000000Z,c3d4e5f6,NSH-CLIN-WS012,ConnectionSuccess,45.132.180.244,cdn-sync-update.xyz,443,powershell.exe,5511,2026-08-17T09:47:26.0000000Z,p.deshmukh
2026-08-17T09:55:56.0000000Z,c3d4e5f6,NSH-CLIN-WS012,ConnectionSuccess,45.132.180.244,cdn-sync-update.xyz,443,powershell.exe,5511,2026-08-17T09:47:26.0000000Z,p.deshmukh
2026-08-17T09:59:56.0000000Z,c3d4e5f6,NSH-CLIN-WS012,ConnectionSuccess,45.132.180.244,cdn-sync-update.xyz,443,powershell.exe,5511,2026-08-17T09:47:26.0000000Z,p.deshmukh
2026-08-17T10:03:56.0000000Z,c3d4e5f6,NSH-CLIN-WS012,ConnectionSuccess,45.132.180.244,cdn-sync-update.xyz,443,powershell.exe,5511,2026-08-17T09:47:26.0000000Z,p.deshmukh
2026-08-17T16:50:26.0000000Z,b2c3d4e5f60718293a4b5c6d7e8f90123456789a,NSH-RSCH-SRV07,ConnectionSuccess,104.21.66.19,storage.filetransfer-cdn.net,443,curl.exe,8812,2026-08-17T16:50:26.0000000Z,adm.rpatel
2026-08-17T16:54:26.0000000Z,b2c3d4e5f60718293a4b5c6d7e8f90123456789a,NSH-RSCH-SRV07,ConnectionSuccess,104.21.66.19,storage.filetransfer-cdn.net,443,curl.exe,8812,2026-08-17T16:50:26.0000000Z,adm.rpatel
2026-08-17T16:58:26.0000000Z,b2c3d4e5f60718293a4b5c6d7e8f90123456789a,NSH-RSCH-SRV07,ConnectionSuccess,104.21.66.19,storage.filetransfer-cdn.net,443,curl.exe,8812,2026-08-17T16:50:26.0000000Z,adm.rpatel
2026-08-17T17:02:26.0000000Z,b2c3d4e5f60718293a4b5c6d7e8f90123456789a,NSH-RSCH-SRV07,ConnectionSuccess,104.21.66.19,storage.filetransfer-cdn.net,443,curl.exe,8812,2026-08-17T16:50:26.0000000Z,adm.rpatel
2026-08-17T17:06:26.0000000Z,b2c3d4e5f60718293a4b5c6d7e8f90123456789a,NSH-RSCH-SRV07,ConnectionSuccess,104.21.66.19,storage.filetransfer-cdn.net,443,curl.exe,8812,2026-08-17T16:50:26.0000000Z,adm.rpatel
2026-08-17T17:10:26.0000000Z,b2c3d4e5f60718293a4b5c6d7e8f90123456789a,NSH-RSCH-SRV07,ConnectionSuccess,104.21.66.19,storage.filetransfer-cdn.net,443,curl.exe,8812,2026-08-17T16:50:26.0000000Z,adm.rpatel
2026-08-17T17:14:26.0000000Z,b2c3d4e5f60718293a4b5c6d7e8f90123456789a,NSH-RSCH-SRV07,ConnectionSuccess,104.21.66.19,storage.filetransfer-cdn.net,443,curl.exe,8812,2026-08-17T16:50:26.0000000Z,adm.rpatel
2026-08-17T17:18:26.0000000Z,b2c3d4e5f60718293a4b5c6d7e8f90123456789a,NSH-RSCH-SRV07,ConnectionSuccess,104.21.66.19,storage.filetransfer-cdn.net,443,curl.exe,8812,2026-08-17T16:50:26.0000000Z,adm.rpatel
2026-08-17T17:22:26.0000000Z,b2c3d4e5f60718293a4b5c6d7e8f90123456789a,NSH-RSCH-SRV07,ConnectionSuccess,104.21.66.19,storage.filetransfer-cdn.net,443,curl.exe,8812,2026-08-17T16:50:26.0000000Z,adm.rpatel
